material_id,material_name,material_type,unit_of_measure,standard_cost,criticality,abc_class
MAT-00001,Zinc-Coated Housing-S,Component,EA,1.9,Medium,C
MAT-00002,Cast Iron Housing,Raw Material,EA,28.41,Medium,B
MAT-00003,Carbon Steel Wiring Harness,Raw Material,EA,5.72,Low,B
MAT-00004,Cast Iron Chain Link,Raw Material,EA,1.94,Low,C
MAT-00005,Cast Iron O-Ring,Component,KG,3.33,High,B
MAT-00006,Nylon Bolt Set 55mm,Fastener,SET,3.67,Medium,C
MAT-00007,Stainless Steel Gasket-S,Component,EA,7.3,High,C
MAT-00008,Copper Diaphragm-L,Component,EA,12.57,Low,C
MAT-00009,Carbon Steel O-Ring,Raw Material,EA,21.51,Medium,B
MAT-00010,Rubber Bearing-XL,Raw Material,KG,14.51,Medium,C
MAT-00011,Stainless Steel Sensor 60mm,Fastener,M,22.08,Low,C
MAT-00012,Galvanized Steel Connector 5mm,Electronic,L,2.33,Medium,B
MAT-00013,Aluminum Relay-XL,Electronic,EA,23.09,Medium,C
MAT-00014,PVC Filter Cartridge 21mm,Component,KG,64.55,Low,B
MAT-00015,Stainless Steel Bracket,Raw Material,EA,23.43,Medium,C
MAT-00016,Ceramic Relay 25mm,Fastener,EA,25.9,Low,C
MAT-00017,Carbon Steel Cable Gland-S,Component,EA,3.13,High,C
MAT-00018,Stainless Steel Terminal Block 33mm,Electronic,EA,26.44,High,C
MAT-00019,Stainless Steel Seal-L,Fastener,EA,3.18,Medium,C
MAT-00020,Carbon Steel Stator Core-M,Component,EA,4.68,Medium,C
MAT-00021,Carbon Steel Pulley,Electronic,EA,14.8,Medium,B
MAT-00022,Carbon Steel Stator Core 27mm,Raw Material,KG,63.87,High,A
MAT-00023,Zinc-Coated Spring-XL,Raw Material,EA,10.82,High,C
MAT-00024,Zinc-Coated Filter Cartridge 25mm,Raw Material,EA,3.52,Low,B
MAT-00025,Galvanized Steel Gasket,Component,M,5.98,Low,A
MAT-00026,Chrome-Plated Circuit Board,Component,EA,2.18,Low,B
MAT-00027,Rubber Cable Gland-L,Component,EA,6.25,Medium,C
MAT-00028,PVC Coupling,Packaging,KG,6.36,Medium,B
MAT-00029,Galvanized Steel Sprocket,Raw Material,EA,19.47,Medium,C
MAT-00030,Bronze Diaphragm,Electronic,EA,17.46,High,C
MAT-00031,Stainless Steel Rotor-S,Fastener,M,32.78,Low,C
MAT-00032,Stainless Steel Impeller-L,Fastener,EA,16.19,Low,C
MAT-00033,Galvanized Steel Filter Cartridge-XL,Component,EA,1.65,Low,B
MAT-00034,Rubber Sprocket,Component,KG,30.83,Medium,C
MAT-00035,Nylon Bracket,Component,EA,70.63,Low,A
MAT-00036,Stainless Steel Housing 27mm,Component,EA,57.79,Low,C
MAT-00037,Aluminum Bolt Set,Component,M,19.11,Medium,A
MAT-00038,PVC Relay-S,Fastener,KG,6.42,Medium,C
MAT-00039,Bronze Gasket-S,Raw Material,L,6.19,Low,C
MAT-00040,Zinc-Coated Sprocket-L,Component,KG,11.87,Low,C
MAT-00041,Rubber Terminal Block 20mm,Raw Material,KG,5.38,High,C
MAT-00042,Chrome-Plated Impeller-L,Fastener,M,11.65,Medium,A
MAT-00043,Chrome-Plated Terminal Block-L,Raw Material,EA,1.58,Medium,C
MAT-00044,Brass Chain Link-S,Component,KG,5.67,Medium,C
MAT-00045,Galvanized Steel Connector,Raw Material,SET,11.55,High,C
MAT-00046,Brass Stator Core,Raw Material,EA,9.15,Low,C
MAT-00047,Aluminum Spring 60mm,Fastener,M,100.36,Medium,B
MAT-00048,Rubber Coupling 61mm,Raw Material,EA,3.71,Medium,C
MAT-00049,Stainless Steel Bolt Set,Component,EA,2.11,Low,C
MAT-00050,Chrome-Plated Gasket,Component,SET,67.67,Medium,C
MAT-00051,PVC Nozzle,Electronic,EA,1.56,High,C
MAT-00052,Stainless Steel Gasket-M,Component,M,4.67,Low,C
MAT-00053,Stainless Steel Cable Gland,Fastener,KG,19.74,Medium,B
MAT-00054,Nylon Housing 29mm,Component,M,2.62,Medium,C
MAT-00055,Galvanized Steel Gasket-S,Raw Material,M,46.43,Medium,A
MAT-00056,Galvanized Steel Shaft 41mm,Component,KG,23.7,High,C
MAT-00057,PVC O-Ring 33mm,Electronic,L,1.39,Medium,C
MAT-00058,Bronze Shaft-XL,Raw Material,EA,8.49,High,B
MAT-00059,Copper Spring,Electronic,EA,3.05,High,A
MAT-00060,Bronze Circuit Board 45mm,Raw Material,EA,15.71,Medium,B
MAT-00061,Carbon Steel Connector,Raw Material,EA,10.33,High,B
MAT-00062,Stainless Steel Sprocket,Component,SET,79.11,Medium,C
MAT-00063,Zinc-Coated Sprocket 31mm,Component,KG,17.02,Medium,C
MAT-00064,Chrome-Plated Circuit Board-L,Raw Material,EA,12.71,Medium,A
MAT-00065,PVC Connector,Raw Material,EA,39.54,Medium,C
MAT-00066,Copper Shaft,Component,EA,2.14,Medium,C
MAT-00067,Carbon Steel Pulley,Raw Material,L,7.19,Low,A
MAT-00068,Zinc-Coated Rotor-S,Raw Material,EA,0.74,Low,C
MAT-00069,Copper Shaft-XL,Electronic,EA,15.66,Low,C
MAT-00070,Nylon Sprocket,Raw Material,EA,3.08,Medium,C
MAT-00071,Stainless Steel Terminal Block 50mm,Packaging,EA,20.92,Medium,C
MAT-00072,Copper Circuit Board-S,Component,EA,9.13,Low,A
MAT-00073,Bronze Bolt Set-S,Component,KG,7.14,Low,C
MAT-00074,Carbon Steel Seal 78mm,Raw Material,EA,10.76,Low,C
MAT-00075,Chrome-Plated Coupling,Raw Material,EA,13.93,Low,C
MAT-00076,Brass Stator Core 45mm,Electronic,EA,5.68,Medium,C
MAT-00077,Copper Impeller-L,Component,EA,19.21,High,B
MAT-00078,Cast Iron Relay-M,Component,EA,0.69,High,C
MAT-00079,Chrome-Plated Impeller,Raw Material,EA,22.5,High,C
MAT-00080,Rubber Gasket 77mm,Electronic,EA,3.52,Low,A
MAT-00081,Nylon Flange,Component,EA,39.0,Low,C
MAT-00082,Brass Sensor 77mm,Raw Material,EA,81.39,Medium,C
MAT-00083,Rubber Bushing,Raw Material,KG,3.44,Low,C
MAT-00084,Bronze Coupling,Component,KG,11.3,Low,C
MAT-00085,Cast Iron Impeller,Raw Material,EA,5.36,Medium,B
MAT-00086,Bronze Flange,Raw Material,M,25.71,Medium,A
MAT-00087,Brass Stator Core 78mm,Component,EA,10.78,High,C
MAT-00088,Copper Rotor 28mm,Raw Material,EA,21.18,Low,B
MAT-00089,Rubber Chain Link,Fastener,EA,3.75,Low,C
MAT-00090,Stainless Steel Bushing-L,Raw Material,EA,7.53,Medium,B
MAT-00091,Nylon Relay 21mm,Packaging,EA,1.67,Medium,C
MAT-00092,Brass Impeller-S,Fastener,EA,195.51,Medium,C
MAT-00093,Galvanized Steel Impeller 58mm,Electronic,EA,1.51,High,C
MAT-00094,Nylon Nozzle,Component,KG,13.13,Low,C
MAT-00095,Nylon Seal,Raw Material,EA,4.65,Medium,C
MAT-00096,Bronze Relay,Component,M,6.8,Low,B
MAT-00097,Rubber Shaft-L,Raw Material,KG,35.57,Medium,B
MAT-00098,Brass Sprocket 27mm,Component,SET,0.83,Medium,B
MAT-00099,Carbon Steel Relay 17mm,Component,EA,10.89,Low,C
MAT-00100,Chrome-Plated Shaft 40mm,Electronic,EA,7.37,Medium,B
MAT-00101,Stainless Steel Gasket 28mm,Packaging,EA,5.66,Medium,C
MAT-00102,Carbon Steel Terminal Block 56mm,Electronic,EA,4.43,Medium,C
MAT-00103,Carbon Steel Chain Link,Raw Material,KG,4.61,Medium,B
MAT-00104,Stainless Steel Pulley-XL,Fastener,EA,1.92,Low,A
MAT-00105,Nylon Impeller-L,Component,EA,150.82,Medium,C
MAT-00106,Bronze Bolt Set,Component,KG,8.12,Medium,C
MAT-00107,Aluminum Bearing 47mm,Raw Material,EA,26.69,Low,C
MAT-00108,PVC Diaphragm 50mm,Fastener,M,4.69,Medium,C
MAT-00109,Bronze Nozzle,Electronic,KG,6.61,Low,A
MAT-00110,Cast Iron Connector,Component,EA,10.32,High,C
MAT-00111,Aluminum Spring-M,Fastener,EA,9.31,Medium,C
MAT-00112,Stainless Steel Seal-XL,Component,EA,9.33,Low,C
MAT-00113,Rubber Diaphragm,Component,KG,10.59,Medium,C
MAT-00114,Carbon Steel Diaphragm 45mm,Raw Material,EA,59.44,Medium,C
MAT-00115,Ceramic Housing,Packaging,EA,113.16,Low,C
MAT-00116,Rubber Valve Body-L,Component,KG,6.05,High,C
MAT-00117,Nylon Valve Body 71mm,Component,EA,6.89,High,C
MAT-00118,Bronze Filter Cartridge 46mm,Fastener,M,3.42,Medium,C
MAT-00119,Carbon Steel Stator Core-XL,Component,M,17.81,High,A
MAT-00120,PVC Sprocket 44mm,Packaging,EA,5.19,High,C
MAT-00121,Stainless Steel Bolt Set,Raw Material,EA,21.66,High,C
MAT-00122,Copper Bushing 76mm,Electronic,EA,28.6,Medium,B
MAT-00123,Chrome-Plated Bolt Set 70mm,Electronic,M,18.62,High,B
MAT-00124,Copper Coupling 8mm,Component,SET,82.37,High,C
MAT-00125,Chrome-Plated Connector 43mm,Component,M,38.72,Medium,B
MAT-00126,Copper Rotor,Raw Material,EA,2.6,Medium,B
MAT-00127,Bronze Wiring Harness 66mm,Raw Material,M,8.62,Low,A
MAT-00128,Ceramic Cable Gland-L,Raw Material,KG,16.64,Low,B
MAT-00129,Carbon Steel Bushing,Component,EA,7.08,Medium,A
MAT-00130,PVC Shaft-XL,Fastener,EA,11.12,Low,C
MAT-00131,Carbon Steel Bracket 67mm,Packaging,EA,4.73,Medium,C
MAT-00132,Galvanized Steel Housing,Raw Material,EA,73.84,Low,C
MAT-00133,Rubber Shaft,Fastener,EA,9.95,Low,B
MAT-00134,Carbon Steel Flange-L,Electronic,SET,32.54,High,C
MAT-00135,Bronze Pulley,Component,EA,32.45,Low,B
MAT-00136,Stainless Steel Stator Core 27mm,Electronic,EA,3.25,Low,B
MAT-00137,Stainless Steel Filter Cartridge-XL,Component,EA,15.88,Low,B
MAT-00138,PVC Valve Body 74mm,Component,EA,6.8,Medium,C
MAT-00139,Copper Nozzle-XL,Fastener,EA,78.19,Medium,C
MAT-00140,Copper Sensor,Fastener,L,5.91,Low,C
MAT-00141,PVC Connector 79mm,Raw Material,EA,47.17,Medium,A
MAT-00142,Galvanized Steel Impeller,Electronic,EA,23.69,Low,B
MAT-00143,Cast Iron Shaft 41mm,Component,M,5.24,High,C
MAT-00144,Aluminum Pulley 9mm,Component,KG,5.53,Medium,C
MAT-00145,Nylon Circuit Board 65mm,Component,EA,18.48,Medium,C
MAT-00146,Aluminum Bolt Set 63mm,Raw Material,EA,79.38,Medium,B
MAT-00147,Chrome-Plated Relay 22mm,Raw Material,EA,17.82,Medium,C
MAT-00148,Carbon Steel Relay,Component,EA,31.26,Medium,B
MAT-00149,Copper Flange,Electronic,KG,5.3,Medium,B
MAT-00150,Brass Chain Link,Component,KG,50.98,High,B
MAT-00151,Brass Shaft 37mm,Component,SET,3.4,Medium,C
MAT-00152,Bronze Flange 29mm,Raw Material,EA,2.02,Low,B
MAT-00153,Bronze O-Ring 44mm,Electronic,EA,0.77,Medium,B
MAT-00154,Ceramic Stator Core-M,Component,EA,11.69,Low,A
MAT-00155,Chrome-Plated Diaphragm-L,Electronic,EA,4.71,Low,A
MAT-00156,Bronze Switch,Raw Material,EA,1.05,Medium,C
MAT-00157,Bronze Terminal Block,Packaging,EA,10.93,Medium,A
MAT-00158,Zinc-Coated Shaft,Fastener,EA,29.92,High,C
MAT-00159,Bronze Pulley,Component,KG,5.32,Low,A
MAT-00160,PVC Circuit Board-S,Component,EA,0.61,Medium,C
MAT-00161,Brass Diaphragm 48mm,Raw Material,KG,4.54,Low,B
MAT-00162,Carbon Steel Impeller 58mm,Component,EA,74.1,Medium,C
MAT-00163,Nylon Connector,Component,KG,18.22,Medium,C
MAT-00164,Rubber Valve Body 69mm,Raw Material,M,2.57,Low,C
MAT-00165,Bronze Bushing-S,Electronic,EA,33.4,Low,C
MAT-00166,PVC Diaphragm 78mm,Component,EA,2.34,Medium,B
MAT-00167,Cast Iron Flange,Component,EA,2.18,High,C
MAT-00168,Zinc-Coated Seal 77mm,Component,EA,4.66,Low,C
MAT-00169,Galvanized Steel Cable Gland,Component,KG,116.92,Low,C
MAT-00170,Carbon Steel Terminal Block,Raw Material,EA,20.04,Medium,C
MAT-00171,PVC Bracket-L,Raw Material,EA,5.4,Medium,C
MAT-00172,Zinc-Coated Pulley-L,Component,EA,5.64,Low,B
MAT-00173,Chrome-Plated Bracket-L,Electronic,M,4.76,Low,B
MAT-00174,Nylon Bracket-M,Electronic,EA,3.37,Medium,A
MAT-00175,Chrome-Plated Diaphragm,Electronic,EA,15.64,Medium,C
MAT-00176,Nylon Rotor-M,Electronic,EA,2.17,Low,B
MAT-00177,Rubber Stator Core 21mm,Component,KG,16.07,Low,B
MAT-00178,Stainless Steel Nozzle-S,Raw Material,EA,4.02,Medium,B
MAT-00179,Chrome-Plated Filter Cartridge,Fastener,EA,3.73,Medium,C
MAT-00180,Stainless Steel Sensor 27mm,Raw Material,KG,54.76,Medium,B
MAT-00181,Zinc-Coated Bracket,Raw Material,EA,4.73,Medium,A
MAT-00182,Bronze Terminal Block,Raw Material,KG,7.26,Low,B
MAT-00183,Rubber Bearing-M,Component,EA,8.9,Medium,C
MAT-00184,Rubber Bracket,Component,EA,10.22,Medium,A
MAT-00185,PVC Diaphragm,Raw Material,SET,0.69,High,C
MAT-00186,Copper Gasket 68mm,Component,KG,5.21,High,C
MAT-00187,Stainless Steel Cable Gland 19mm,Raw Material,EA,6.55,Medium,B
MAT-00188,Carbon Steel Pulley-S,Electronic,EA,5.76,Low,C
MAT-00189,Copper Bearing-L,Fastener,M,9.88,Medium,C
MAT-00190,Zinc-Coated Seal-L,Raw Material,EA,8.09,Medium,B
MAT-00191,Carbon Steel Bearing 23mm,Electronic,EA,135.82,Low,B
MAT-00192,Aluminum Bearing,Component,EA,6.49,Medium,C
MAT-00193,Brass Bushing,Fastener,M,20.05,High,A
MAT-00194,Carbon Steel Chain Link-L,Raw Material,M,5.45,Medium,A
MAT-00195,Ceramic Circuit Board-XL,Fastener,EA,4.6,Low,A
MAT-00196,Brass Bracket,Component,EA,6.47,Medium,C
MAT-00197,Cast Iron Circuit Board-S,Component,EA,2.49,Low,C
MAT-00198,Copper Gasket 58mm,Component,EA,1.24,Medium,C
MAT-00199,Rubber Rotor,Raw Material,M,2.43,High,A
MAT-00200,Stainless Steel Bearing-L,Component,EA,15.87,High,A
MAT-00201,Carbon Steel Switch 55mm,Component,SET,15.05,Low,A
MAT-00202,Stainless Steel Wiring Harness,Electronic,EA,10.84,Medium,C
MAT-00203,Stainless Steel Flange-XL,Component,EA,9.95,Low,A
MAT-00204,PVC Diaphragm,Electronic,EA,60.0,High,C
MAT-00205,Nylon Sprocket-M,Fastener,L,4.61,Medium,C
MAT-00206,Copper Coupling 67mm,Raw Material,EA,33.58,Low,C
MAT-00207,Nylon Stator Core-M,Raw Material,EA,38.9,Medium,C
MAT-00208,Zinc-Coated Circuit Board-S,Fastener,KG,16.64,Medium,C
MAT-00209,Galvanized Steel Shaft-M,Raw Material,KG,6.94,Medium,B
MAT-00210,Carbon Steel Nozzle,Component,EA,3.83,High,C
MAT-00211,Rubber Valve Body,Component,KG,13.6,High,A
MAT-00212,Copper Nozzle,Packaging,EA,52.41,Low,A
MAT-00213,Carbon Steel Flange,Component,M,18.65,High,B
